,Retailer,Retailer ID,Invoice Date,Region,State,City,Gender Type,Product Category,Price per Unit,Units Sold,Total Sales,Sales Method
28,Foot Locker,1185732,2021-11-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,175,96250.0,Outlet
29,Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,150,82500.0,Outlet
30,Foot Locker,1185732,2021-11-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,150,97500.0,Outlet
31,Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,300,210000.0,Outlet
32,Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,500,325000.0,Outlet
33,Foot Locker,1185732,2021-11-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,300,180000.0,Outlet
34,Foot Locker,1185732,2021-11-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,225,123750.0,Outlet
35,Foot Locker,1185732,2021-11-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,175,96250.0,Outlet
36,Foot Locker,1185732,2021-12-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,200,130000.0,Outlet
37,Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,375,262500.0,Outlet
38,Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,525,341250.0,Outlet
39,Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,300,180000.0,Outlet
40,Foot Locker,1185732,2021-12-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,225,123750.0,Outlet
41,Foot Locker,1185732,2021-12-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,200,110000.0,Outlet
42,Foot Locker,1185732,2021-12-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,175,113750.0,Outlet
43,Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,350,245000.0,Outlet
44,Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,475,308750.0,Outlet
45,Foot Locker,1185732,2021-12-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,275,137500.0,Outlet
46,Foot Locker,1185732,2021-12-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,45,200,90000.0,Outlet
47,Foot Locker,1185732,2021-12-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,45,175,78750.0,Outlet
48,Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,125,68750.0,Outlet
49,Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,60,225,135000.0,Outlet
50,Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,400,240000.0,Outlet
51,Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,225,112500.0,Outlet
52,Foot Locker,1185732,2021-12-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,50,125,62500.0,Outlet
53,Foot Locker,1185732,2021-12-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,50,100,50000.0,Outlet
54,Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,100,60000.0,Outlet
55,Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,65,225,146250.0,Outlet
56,Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,70,375,262500.0,Outlet
57,Foot Locker,1185732,2021-12-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,200,120000.0,Outlet
58,Foot Locker,1185732,2021-12-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,60,195,117000.0,Outlet
59,Foot Locker,1185732,2021-12-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,60,175,105000.0,Outlet
60,Foot Locker,1185732,2021-12-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,70,150,105000.0,Outlet
61,Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,75,250,187500.0,Outlet
62,Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,70,475,332500.0,Outlet
63,Foot Locker,1185732,2021-12-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,275,165000.0,Outlet
64,Foot Locker,1185732,2021-12-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,60,225,135000.0,Outlet
65,Foot Locker,1185732,2021-12-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,60,175,105000.0,Outlet
66,Foot Locker,1185732,2021-12-31,Northeast,Pennsylvania,Philadelphia,Men,Apparel,70,175,122500.0,Outlet
67,Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women,Apparel,75,275,206250.0,Outlet
68,Foot Locker,1185732,2021-10-26,Northeast,Pennsylvania,Philadelphia,Men,Apparel,42,41,1722.0,Outlet
69,Foot Locker,1185732,2021-10-27,Northeast,Pennsylvania,Philadelphia,Women,Apparel,32,70,2240.0,Outlet
70,Foot Locker,1185732,2021-10-28,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,32,166,5312.0,Outlet
71,Foot Locker,1185732,2021-10-29,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,32,44,1408.0,Outlet
72,Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,25,54,1350.0,Outlet
73,Foot Locker,1185732,2021-10-31,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,28,17,476.0,Outlet
74,Foot Locker,1185732,2021-11-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,39,40,1560.0,Outlet
75,Foot Locker,1185732,2021-11-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,30,74,2220.0,Outlet
76,Foot Locker,1185732,2021-11-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,39,156,6084.0,Outlet
77,Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,33,53,1749.0,Outlet
78,Foot Locker,1185732,2021-11-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,29,58,1682.0,Outlet
79,Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,32,8,256.0,Outlet
80,Foot Locker,1185732,2021-11-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,41,24,984.0,Outlet
81,Foot Locker,1185732,2021-11-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,38,61,2318.0,Outlet
82,Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,35,140,4900.0,Outlet
83,Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,37,51,1887.0,Outlet
84,Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,27,51,1377.0,Outlet
85,Foot Locker,1185732,2021-11-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,36,24,864.0,Outlet
86,Foot Locker,1185732,2021-11-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,45,26,1170.0,Outlet
87,Foot Locker,1185732,2021-11-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,39,64,2496.0,Outlet
88,Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,44,150,6600.0,Outlet
89,Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,40,54,2160.0,Outlet
90,Foot Locker,1185732,2021-11-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,53,2014.0,Outlet
91,Foot Locker,1185732,2021-11-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,42,34,1428.0,Outlet
92,Foot Locker,1185732,2021-11-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,39,1989.0,Outlet
93,Foot Locker,1185732,2021-11-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,51,78,3978.0,Outlet
94,Foot Locker,1185732,2021-11-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,170,8330.0,Outlet
95,Foot Locker,1185732,2021-11-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,41,85,3485.0,Outlet
96,Foot Locker,1185732,2021-11-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,42,54,2268.0,Outlet
97,Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,53,2279.0,Outlet
98,Foot Locker,1185732,2021-11-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,43,48,2064.0,Outlet
99,Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,52,105,5460.0,Outlet
100,Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,175,8575.0,Outlet
101,Foot Locker,1185732,2021-11-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,99,4455.0,Outlet
102,Foot Locker,1185732,2021-11-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,43,72,3096.0,Outlet
103,Foot Locker,1185732,2021-11-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,39,56,2184.0,Outlet
104,Foot Locker,1185732,2021-12-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,50,64,3200.0,Outlet
105,Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,50,116,5800.0,Outlet
106,Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,51,179,9129.0,Outlet
107,Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,44,102,4488.0,Outlet
108,Foot Locker,1185732,2021-12-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,79,3002.0,Outlet
109,Foot Locker,1185732,2021-12-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,62,2666.0,Outlet
110,Foot Locker,1185732,2021-12-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,46,54,2484.0,Outlet
111,Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,49,123,6027.0,Outlet
112,Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,46,162,7452.0,Outlet
113,Foot Locker,1185732,2021-12-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,40,91,3640.0,Outlet
114,Foot Locker,1185732,2021-12-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,32,60,1920.0,Outlet
115,Foot Locker,1185732,2021-12-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,32,53,1696.0,Outlet
116,Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,36,41,1476.0,Outlet
117,Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,48,79,3792.0,Outlet
118,Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,47,124,5828.0,Outlet
119,Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,35,68,2380.0,Outlet
120,Foot Locker,1185732,2021-12-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,38,1444.0,Outlet
121,Foot Locker,1185732,2021-12-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,34,1360.0,Outlet
122,Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,43,30,1290.0,Outlet
123,Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,42,74,3108.0,Outlet
124,Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,48,124,5952.0,Outlet
125,Foot Locker,1185732,2021-12-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,43,68,2924.0,Outlet
126,Foot Locker,1185732,2021-12-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,47,66,3102.0,Outlet
127,Foot Locker,1185732,2021-12-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,60,2580.0,Outlet
128,Foot Locker,1185732,2021-12-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,48,2448.0,Outlet
129,Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,53,75,3975.0,Outlet
130,Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,53,143,7579.0,Outlet
131,Foot Locker,1185732,2021-12-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,85,3995.0,Outlet
132,Foot Locker,1185732,2021-12-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,44,79,3476.0,Outlet
133,Foot Locker,1185732,2021-12-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,53,2120.0,Outlet
134,Foot Locker,1185732,2021-12-31,Northeast,Pennsylvania,Philadelphia,Men,Apparel,46,56,2576.0,Outlet
135,Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women,Apparel,53,83,4399.0,Outlet
136,Foot Locker,1185732,2021-10-26,Northeast,Pennsylvania,Philadelphia,Men,Apparel,54,36,1944.0,Online
137,Foot Locker,1185732,2021-10-27,Northeast,Pennsylvania,Philadelphia,Women,Apparel,43,61,2623.0,Online
138,Foot Locker,1185732,2021-10-28,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,42,119,4998.0,Online
139,Foot Locker,1185732,2021-10-29,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,44,35,1540.0,Online
140,Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,34,46,1564.0,Online
141,Foot Locker,1185732,2021-10-31,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,39,13,507.0,Online
142,Foot Locker,1185732,2021-11-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,36,1836.0,Online
143,Foot Locker,1185732,2021-11-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,44,68,2992.0,Online
144,Foot Locker,1185732,2021-11-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,120,5880.0,Online
145,Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,38,1786.0,Online
146,Foot Locker,1185732,2021-11-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,36,51,1836.0,Online
147,Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,8,344.0,Online
148,Foot Locker,1185732,2021-11-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,58,20,1160.0,Online
149,Foot Locker,1185732,2021-11-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,47,44,2068.0,Online
150,Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,46,122,5612.0,Online
151,Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,45,2025.0,Online
152,Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,38,1444.0,Online
153,Foot Locker,1185732,2021-11-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,42,20,840.0,Online
154,Foot Locker,1185732,2021-11-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,22,1210.0,Online
155,Foot Locker,1185732,2021-11-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,48,54,2592.0,Online
156,Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,58,136,7888.0,Online
157,Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,54,53,2862.0,Online
158,Foot Locker,1185732,2021-11-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,52,42,2184.0,Online
159,Foot Locker,1185732,2021-11-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,51,29,1479.0,Online
160,Foot Locker,1185732,2021-11-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,59,31,1829.0,Online
161,Foot Locker,1185732,2021-11-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,63,4032.0,Online
162,Foot Locker,1185732,2021-11-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,64,135,8640.0,Online
163,Foot Locker,1185732,2021-11-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,59,70,4130.0,Online
164,Foot Locker,1185732,2021-11-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,52,44,2288.0,Online
165,Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,52,39,2028.0,Online
166,Foot Locker,1185732,2021-11-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,45,2700.0,Online
167,Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,65,81,5265.0,Online
168,Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,145,8700.0,Online
169,Foot Locker,1185732,2021-11-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,90,4950.0,Online
170,Foot Locker,1185732,2021-11-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,51,59,3009.0,Online
171,Foot Locker,1185732,2021-11-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,51,44,2244.0,Online
172,Foot Locker,1185732,2021-12-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,64,60,3840.0,Online
173,Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,98,6272.0,Online
174,Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,158,9480.0,Online
175,Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,54,75,4050.0,Online
176,Foot Locker,1185732,2021-12-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,54,61,3294.0,Online
177,Foot Locker,1185732,2021-12-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,53,58,3074.0,Online
178,Foot Locker,1185732,2021-12-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,61,46,2806.0,Online
179,Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,95,6080.0,Online
180,Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,62,143,8866.0,Online
181,Foot Locker,1185732,2021-12-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,48,80,3840.0,Online
182,Foot Locker,1185732,2021-12-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,41,50,2050.0,Online
183,Foot Locker,1185732,2021-12-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,41,53,2173.0,Online
184,Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,50,36,1800.0,Online
185,Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,55,61,3355.0,Online
186,Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,55,104,5720.0,Online
187,Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,63,2961.0,Online
188,Foot Locker,1185732,2021-12-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,48,34,1632.0,Online
189,Foot Locker,1185732,2021-12-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,48,29,1392.0,Online
190,Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,56,27,1512.0,Online
191,Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,60,63,3780.0,Online
192,Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,66,113,7458.0,Online
193,Foot Locker,1185732,2021-12-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,60,3300.0,Online
194,Foot Locker,1185732,2021-12-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,55,3025.0,Online
195,Foot Locker,1185732,2021-12-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,56,44,2464.0,Online
196,Foot Locker,1185732,2021-12-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,64,42,2688.0,Online
197,Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,71,65,4615.0,Online
198,Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,67,124,8308.0,Online
199,Foot Locker,1185732,2021-12-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,69,3795.0,Online
200,Foot Locker,1185732,2021-12-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,65,3575.0,Online
201,Foot Locker,1185732,2021-12-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,57,53,3021.0,Online
202,Foot Locker,1185732,2021-12-31,Northeast,Pennsylvania,Philadelphia,Men,Apparel,63,47,2961.0,Online
203,Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women,Apparel,68,83,5644.0,Online
204,Foot Locker,1185732,2021-02-08,Northeast,Rhode Island,Providence,Women,Athletic Footwear,30,50,15000.0,In-store
205,Foot Locker,1185732,2021-02-08,Northeast,Rhode Island,Providence,Men,Apparel,45,125,56250.0,In-store
206,Foot Locker,1185732,2021-02-08,Northeast,Rhode Island,Providence,Women,Apparel,35,225,78750.0,In-store
207,Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Men,Street Footwear,35,445,155750.0,In-store
208,Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Men,Athletic Footwear,35,150,52500.0,In-store
209,Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Women,Street Footwear,25,175,43750.0,In-store
210,Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Women,Athletic Footwear,30,25,7500.0,In-store
211,Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Men,Apparel,45,75,33750.0,In-store
212,Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Women,Apparel,35,175,61250.0,In-store
213,Foot Locker,1185732,2021-04-07,Northeast,Rhode Island,Providence,Men,Street Footwear,35,425,148750.0,In-store
214,Foot Locker,1185732,2021-04-07,Northeast,Rhode Island,Providence,Men,Athletic Footwear,35,125,43750.0,In-store
215,Foot Locker,1185732,2021-04-07,Northeast,Rhode Island,Providence,Women,Street Footwear,25,125,31250.0,In-store
216,Foot Locker,1185732,2021-04-07,Northeast,Rhode Island,Providence,Women,Athletic Footwear,30,50,15000.0,In-store
217,Foot Locker,1185732,2021-04-07,Northeast,Rhode Island,Providence,Men,Apparel,45,50,22500.0,In-store
218,Foot Locker,1185732,2021-04-07,Northeast,Rhode Island,Providence,Women,Apparel,35,200,70000.0,In-store
219,Foot Locker,1185732,2021-05-06,Northeast,Rhode Island,Providence,Men,Street Footwear,50,470,235000.0,In-store
